Doanh thu thuan ve ban hang va cung cap dich vu,,62573,82582,130000,55332,
Gia von hang ban,,53844,72837,117824,47005,
Loi nhuan gop ve ban hang va cung cap dich vu,,8728,9745,12176,8327,
Doanh thu hoat dong tai chinh,,377,75,1766,83,
Chi phi tai chinh,,1877,1682,1562,1061,
Chi phi ban hang,,2725,3009,3740,3209,
Chi phi quan ly doanh nghiep,,3050,3621,4484,3932,
Loi nhuan thuan tu hoat dong kinh doanh,,1232,1507,4157,207,
Loi nhuan khac,,227,(3),1102,375,
Phan loi nhuan/lo tu cong ty lien ket lien doanh,,,,,,
Tong loi nhuan ke toan truoc thue,,1459,1505,5259,582,
Loi nhuan sau thue thu nhap doanh nghiep,,1226,1449,2739,462,
Loi nhuan sau thue cua co dong Cong ty me,,1410,1288,2739,384,
Lai co ban tren co phieu (VND),,,,,,
,
CAN DOI KE TOAN,Quy 2/2016
CKT/HN,Quy 3/2016
CKT/HN,Quy 4/2016
CKT/HN,Quy 1/2017
CKT/HN,
Tai san ngan han,,248144,261420,220194,198133,
Tien va cac khoan tuong duong tien,,26645,23033,35522,17438,
Cac khoan dau tu tai chinh ngan han,,15000,15000,15000,,
Cac khoan phai thu ngan han,,57172,84690,61083,58669,
Hang ton kho,,146119,135282,107757,119626,
Tai san ngan han khac,,3208,3414,832,2400,
Tai san dai han,,126585,122746,115671,113720,
Tai san co dinh,,30566,29985,30880,30508,
Bat dong san dau tu,,,,,,
Cac khoan dau tu tai chinh dai han,,7276,7292,7292,8369,
Tong cong tai san,,374729,384166,335865,311852,
No phai tra,,231313,238718,189210,162981,
No ngan han,,230791,238033,188556,162430,
No dai han,,523,685,655,551,
Von chu so huu,,143416,145448,146655,148872,
Von dau tu cua chu so huu,,108890,108890,108890,108890,
Thang du von co phan,,1453,1453,1453,1453,
Loi nhuan sau thue chua phan phoi,,4192,5247,7340,9960,
Loi ich cua co dong thieu so,,,,,,
Tong cong nguon von,,374729,384166,335865,311852,
,
CHI SO TAI CHINH,,,Quy 2/2016
CKT/HN,Quy 3/2016
CKT/HN,Quy 4/2016
CKT/HN,Quy 1/2017
CKT/HN,
Thu nhap tren moi co phan cua 4 quy gan nhat (EPS),VND,,722,778,656,564,
Gia tri so sach cua co phieu (BVPS),VND,,13890,14087,14204,14419,
Chi so gia thi truong tren thu nhap (P/E),Lan,,103.21,100.98,42.21,384.69,
Chi so gia thi truong tren gia tri so sach (P/B),Lan,,1.02,0.89,0.79,0.99,
Ty suat loi nhuan gop bien,%,,13.95,11.8,9.37,15.05,
Ty suat sinh loi tren doanh thu thuan,%,,1.96,1.75,2.11,0.84,
Ty suat loi nhuan tren von chu so huu binh quan (ROEA),%,,0.98,0.89,1.88,0.26,
Ty suat sinh loi tren tong tai san binh quan (ROAA),%,,0.39,0.34,0.76,0.12,
Ty so thanh toan hien hanh (ngan han),Lan,,1.08,1.1,1.17,1.22,
Kha nang thanh toan lai vay,Lan,,1.88,1.89,4.37,1.64,
Ty so No tren Tong tai san,%,,61.73,62.14,56.34,52.26,
Ty so No vay tren Von chu so huu,%,,50.52,51.98,42.65,30.35,
