Doanh thu thuan ve ban hang va cung cap dich vu,,1020610,906609,1195411,1137951,
Gia von hang ban,,867346,760360,1052447,1001095,
Loi nhuan gop ve ban hang va cung cap dich vu,,153264,146249,142964,136856,
Doanh thu hoat dong tai chinh,,40639,56475,46263,75567,
Chi phi tai chinh,,64582,57218,77199,64052,
Chi phi ban hang,,19659,14645,15017,27421,
Chi phi quan ly doanh nghiep,,38770,36829,30727,35644,
Loi nhuan thuan tu hoat dong kinh doanh,,72581,90954,101693,86475,
Loi nhuan khac,,2437,(689),3732,2905,
Phan loi nhuan/lo tu cong ty lien ket lien doanh,,,,,,
Tong loi nhuan ke toan truoc thue,,75017,90266,105425,89381,
Loi nhuan sau thue thu nhap doanh nghiep,,80712,75292,100674,83457,
Loi nhuan sau thue cua co dong Cong ty me,,80836,75735,100778,83474,
Lai co ban tren co phieu (VND),,,393,423,291,
,
CAN DOI KE TOAN,Quy 4/2015
CKT/HN,Quy 1/2016
CKT/HN,Quy 2/2016
CKT/HN,Quy 3/2016
CKT/HN,
Tai san ngan han,,4432162,3809661,4446673,5165376,
Tien va cac khoan tuong duong tien,,856237,432968,462261,156211,
Cac khoan dau tu tai chinh ngan han,,85005,130110,127107,44325,
Cac khoan phai thu ngan han,,2068324,2401895,2741491,2495491,
Hang ton kho,,1373159,723089,924804,2340083,
Tai san ngan han khac,,49438,121599,191010,129266,
Tai san dai han,,2421550,2838992,2803029,2825248,
Tai san co dinh,,1550497,1525564,1608522,1605633,
Bat dong san dau tu,,,,,,
Cac khoan dau tu tai chinh dai han,,628670,884036,838858,840280,
Tong cong tai san,,6853712,6648653,7249702,7990624,
No phai tra,,4238218,3770140,4305929,4962679,
No ngan han,,2867854,2432921,2992076,3694735,
No dai han,,1370364,1337220,1313853,1267945,
Von chu so huu,,2603555,2878513,2943774,3027945,
Von dau tu cua chu so huu,,1856424,1947610,2531893,2531883,
Thang du von co phan,,155174,221965,75894,75894,
Loi nhuan sau thue chua phan phoi,,389658,455536,287528,366097,
