Doanh thu thuan ve ban hang va cung cap dich vu,,,,,78854,
Gia von hang ban,,,,,51061,
Loi nhuan gop ve ban hang va cung cap dich vu,,,,,27793,
Doanh thu hoat dong tai chinh,,,,,844,
Chi phi tai chinh,,,,,2482,
Chi phi ban hang,,,,,3343,
Chi phi quan ly doanh nghiep,,,,,9688,
Loi nhuan thuan tu hoat dong kinh doanh,,,,,13123,
Loi nhuan khac,,,,,4,
Phan loi nhuan/lo tu cong ty lien ket lien doanh,,,,,,
Tong loi nhuan ke toan truoc thue,,,,,13127,
Loi nhuan sau thue thu nhap doanh nghiep,,,,,11721,
Loi nhuan sau thue cua co dong Cong ty me,,,,,11721,
Lai co ban tren co phieu (VND),,,,,,
,
CAN DOI KE TOAN,,,,Quy 1/2017
CKT/DL,
Tai san ngan han,,,,,438462,
Tien va cac khoan tuong duong tien,,,,,174688,
Cac khoan dau tu tai chinh ngan han,,,,,5142,
Cac khoan phai thu ngan han,,,,,181347,
Hang ton kho,,,,,56895,
Tai san ngan han khac,,,,,20390,
Tai san dai han,,,,,152681,
Tai san co dinh,,,,,86284,
Bat dong san dau tu,,,,,,
Cac khoan dau tu tai chinh dai han,,,,,,
Tong cong tai san,,,,,591142,
No phai tra,,,,,152626,
No ngan han,,,,,140399,
No dai han,,,,,12227,
Von chu so huu,,,,,438516,
Von dau tu cua chu so huu,,,,,205400,
Thang du von co phan,,,,,94626,
Loi nhuan sau thue chua phan phoi,,,,,124183,
Loi ich cua co dong thieu so,,,,,,
Tong cong nguon von,,,,,591142,
,
CHI SO TAI CHINH,,,,,,Quy 1/2017
CKT/DL,
Thu nhap tren moi co phan cua 4 quy gan nhat (EPS),VND,,,,,-,
Gia tri so sach cua co phieu (BVPS),VND,,,,,-,
Chi so gia thi truong tren thu nhap (P/E),Lan,,,,,-,
Chi so gia thi truong tren gia tri so sach (P/B),Lan,,,,,-,
Ty suat loi nhuan gop bien,%,,,,,35.25,
Ty suat sinh loi tren doanh thu thuan,%,,,,,14.86,
Ty suat loi nhuan tren von chu so huu binh quan (ROEA),%,,,,,-,
Ty suat sinh loi tren tong tai san binh quan (ROAA),%,,,,,-,
Ty so thanh toan hien hanh (ngan han),Lan,,,,,3.12,
Kha nang thanh toan lai vay,Lan,,,,,6.04,
Ty so No tren Tong tai san,%,,,,,25.82,
Ty so No vay tren Von chu so huu,%,,,,,27.56,
